vol_frac_IL,chi_cell
0.306876093,0.035078333
0.312916858,0.036945417
0.424345958,0.055757668
0.42643782,0.057493553
0.528379146,0.077625358
0.530983755,0.078964408
0.629408254,0.089901292
0.62928042,0.091757068
0.306876093,0.040090322
0.312916858,0.038782964
0.424345958,0.058110073
0.42643782,0.059085241
0.528379146,0.080496066
0.530983755,0.083159093
0.629408254,0.093988458
0.62928042,0.095278974
1,0.117914662
1,0.132250931
1,0.123193696
1,0.123907023
1,0.135177584
1,0.128010291
